participant_id,timestamp_ms,event_type,current_it_index,player0_pos_x,player0_pos_z,player1_pos_x,player1_pos_z,gsr_raw,gsr_derivative,gsr_threshold,is_excited
izumi,0,GameStart,1,-9.07,-2.58,1.09,2.15,0.00,0.00,0.00,False
izumi,37,Tick,1,-9.07,-2.58,1.09,2.16,578.00,-2.00,5.00,False
izumi,379,Tick,1,-9.07,-2.58,0.61,3.62,580.00,0.00,5.00,False
izumi,717,Tick,1,-9.02,-3.42,-0.44,4.86,580.00,1.00,5.00,False
izumi,1076,Tick,1,-6.86,-3.75,-1.72,6.12,579.00,0.00,5.00,False
izumi,1441,Tick,1,-4.66,-3.57,-3.02,7.40,579.00,1.00,5.00,False
izumi,1808,Tick,1,-2.56,-4.45,-4.32,8.69,578.00,0.00,5.00,False
izumi,2179,Tick,1,-0.42,-3.34,-5.37,9.73,578.00,0.00,5.00,False
izumi,2569,Tick,1,1.55,-1.81,-6.67,10.39,576.00,-2.00,5.00,False
izumi,2978,Tick,1,2.92,0.29,-8.08,10.90,575.00,-5.00,5.00,False
izumi,3373,Tick,1,4.76,1.28,-9.65,11.47,574.00,-6.00,5.00,True
izumi,3740,Tick,1,5.59,2.45,-10.48,11.77,574.00,-5.00,5.00,False
izumi,4111,Tick,1,7.33,4.11,-9.71,11.83,574.00,-4.00,5.00,False
izumi,4489,Tick,1,9.52,5.09,-8.35,11.93,575.00,-3.00,5.00,False
izumi,4863,Tick,1,11.92,5.62,-7.85,11.96,575.00,-2.00,5.00,False
izumi,5241,Tick,1,14.31,5.12,-6.79,11.44,576.00,0.00,5.00,False
izumi,5615,Tick,1,16.22,3.63,-7.10,11.73,576.00,1.00,5.00,False
izumi,5992,Tick,1,17.90,1.86,-8.24,12.48,577.00,3.00,5.00,False
izumi,6362,Tick,1,18.75,1.02,-9.56,13.35,577.00,3.00,5.00,False
izumi,6738,Tick,1,19.67,1.56,-10.03,13.66,578.00,4.00,5.00,False
izumi,7114,Tick,1,21.39,3.25,-8.89,12.39,578.00,3.00,5.00,False
izumi,7489,Tick,1,21.52,3.33,-7.89,11.98,578.00,3.00,5.00,False
izumi,7858,Tick,1,22.07,4.91,-7.80,11.95,578.00,2.00,5.00,False
izumi,8242,Tick,1,21.99,7.38,-5.97,11.75,578.00,2.00,5.00,False
izumi,8623,Tick,1,20.83,9.48,-4.07,11.55,578.00,1.00,5.00,False
izumi,9003,Tick,1,19.29,11.48,-2.18,11.38,579.00,1.00,5.00,False
izumi,9376,Tick,1,17.71,13.31,-0.64,11.24,579.00,2.00,5.00,False
