trial_number,target_state,start_time_ms,score,success_rate,mean_gsr,sd_gsr,response_time_ms
1,Calmed,18009,7484.0,6.24,783.98,0.15,0
2,Excited,56014,0.0,0.00,784.00,0.00,0
3,Calmed,94030,1999.0,1.67,593.72,18.95,0
