participant_id,test_type,trial_number,timestamp_ms,gsr_raw,gsr_derivative,gsr_threshold,target_value,current_state,instantaneous_score,cumulative_score
void2,Pre,1,18236,720.00,-1.00,5.00,Calmed,Calmed,100,81
void2,Pre,1,18241,720.00,-1.00,5.00,Calmed,Calmed,100,82
void2,Pre,1,18243,720.00,-1.00,5.00,Calmed,Calmed,100,83
void2,Pre,1,18246,720.00,-1.00,5.00,Calmed,Calmed,100,84
void2,Pre,1,18248,720.00,-1.00,5.00,Calmed,Calmed,100,85
void2,Pre,1,18251,720.00,-1.00,5.00,Calmed,Calmed,100,86
void2,Pre,1,18254,720.00,-1.00,5.00,Calmed,Calmed,100,87
void2,Pre,1,18259,720.00,-1.00,5.00,Calmed,Calmed,100,88
void2,Pre,1,18261,720.00,-1.00,5.00,Calmed,Calmed,100,89
void2,Pre,1,18264,720.00,-1.00,5.00,Calmed,Calmed,100,90
void2,Pre,1,18266,720.00,-1.00,5.00,Calmed,Calmed,100,91
void2,Pre,1,18269,720.00,-1.00,5.00,Calmed,Calmed,100,92
void2,Pre,1,18272,720.00,-1.00,5.00,Calmed,Calmed,100,93
void2,Pre,1,18275,720.00,-1.00,5.00,Calmed,Calmed,100,94
void2,Pre,1,18277,720.00,-1.00,5.00,Calmed,Calmed,100,95
void2,Pre,1,18280,720.00,-1.00,5.00,Calmed,Calmed,100,96
void2,Pre,1,18282,720.00,-1.00,5.00,Calmed,Calmed,100,97
void2,Pre,1,18285,721.00,0.00,5.00,Calmed,Calmed,100,98
void2,Pre,1,18292,721.00,0.00,5.00,Calmed,Calmed,100,99
void2,Pre,1,18294,721.00,0.00,5.00,Calmed,Calmed,100,100
void2,Pre,1,18297,721.00,0.00,5.00,Calmed,Calmed,100,101
void2,Pre,1,18300,721.00,0.00,5.00,Calmed,Calmed,100,102
void2,Pre,1,18302,721.00,0.00,5.00,Calmed,Calmed,100,103
void2,Pre,1,18304,721.00,0.00,5.00,Calmed,Calmed,100,104
void2,Pre,1,18309,721.00,0.00,5.00,Calmed,Calmed,100,105
void2,Pre,1,18311,721.00,0.00,5.00,Calmed,Calmed,100,106
void2,Pre,1,18314,721.00,0.00,5.00,Calmed,Calmed,100,107
void2,Pre,1,18316,721.00,0.00,5.00,Calmed,Calmed,100,108
void2,Pre,1,18319,721.00,0.00,5.00,Calmed,Calmed,100,109
void2,Pre,1,18323,721.00,0.00,5.00,Calmed,Calmed,100,110
void2,Pre,1,18325,721.00,0.00,5.00,Calmed,Calmed,100,111
void2,Pre,1,18328,721.00,0.00,5.00,Calmed,Calmed,100,112
void2,Pre,1,18330,721.00,0.00,5.00,Calmed,Calmed,100,113
void2,Pre,1,18333,721.00,0.00,5.00,Calmed,Calmed,100,114
void2,Pre,1,18335,721.00,0.00,5.00,Calmed,Calmed,100,115
void2,Pre,1,18339,720.00,-1.00,5.00,Calmed,Calmed,100,116
void2,Pre,1,18341,720.00,-1.00,5.00,Calmed,Calmed,100,117
void2,Pre,1,18344,720.00,-1.00,5.00,Calmed,Calmed,100,118
void2,Pre,1,18348,720.00,-1.00,5.00,Calmed,Calmed,100,119
void2,Pre,1,18351,720.00,-1.00,5.00,Calmed,Calmed,100,120
void2,Pre,1,18354,720.00,-1.00,5.00,Calmed,Calmed,100,121
void2,Pre,1,18359,720.00,-1.00,5.00,Calmed,Calmed,100,122
void2,Pre,1,18361,720.00,-1.00,5.00,Calmed,Calmed,100,123
void2,Pre,1,18364,720.00,-1.00,5.00,Calmed,Calmed,100,124
void2,Pre,1,18367,720.00,-1.00,5.00,Calmed,Calmed,100,125
void2,Pre,1,18370,720.00,-1.00,5.00,Calmed,Calmed,100,126
void2,Pre,1,18373,720.00,-1.00,5.00,Calmed,Calmed,100,127
void2,Pre,1,18375,720.00,-1.00,5.00,Calmed,Calmed,100,128
void2,Pre,1,18378,720.00,-1.00,5.00,Calmed,Calmed,100,129
void2,Pre,1,18380,720.00,-1.00,5.00,Calmed,Calmed,100,130
void2,Pre,1,18383,720.00,-1.00,5.00,Calmed,Calmed,100,131
void2,Pre,1,18386,720.00,-1.00,5.00,Calmed,Calmed,100,132
void2,Pre,1,18391,720.00,-1.00,5.00,Calmed,Calmed,100,133
void2,Pre,1,18393,720.00,-1.00,5.00,Calmed,Calmed,100,134
void2,Pre,1,18396,720.00,-1.00,5.00,Calmed,Calmed,100,135
void2,Pre,1,18398,720.00,-1.00,5.00,Calmed,Calmed,100,136
void2,Pre,1,18401,720.00,-1.00,5.00,Calmed,Calmed,100,137
void2,Pre,1,18405,720.00,-1.00,5.00,Calmed,Calmed,100,138
void2,Pre,1,18407,720.00,-1.00,5.00,Calmed,Calmed,100,139
void2,Pre,1,18412,720.00,-1.00,5.00,Calmed,Calmed,100,140
void2,Pre,1,18414,720.00,-1.00,5.00,Calmed,Calmed,100,141
void2,Pre,1,18417,720.00,-1.00,5.00,Calmed,Calmed,100,142
void2,Pre,1,18420,720.00,-1.00,5.00,Calmed,Calmed,100,143
void2,Pre,1,18423,720.00,-1.00,5.00,Calmed,Calmed,100,144
void2,Pre,1,18425,720.00,-1.00,5.00,Calmed,Calmed,100,145
void2,Pre,1,18428,720.00,-1.00,5.00,Calmed,Calmed,100,146
void2,Pre,1,18430,720.00,-1.00,5.00,Calmed,Calmed,100,147
void2,Pre,1,18433,720.00,-1.00,5.00,Calmed,Calmed,100,148
void2,Pre,1,18436,720.00,-1.00,5.00,Calmed,Calmed,100,149
void2,Pre,1,18439,720.00,-1.00,5.00,Calmed,Calmed,100,150
void2,Pre,1,18441,721.00,0.00,5.00,Calmed,Calmed,100,151
void2,Pre,1,18444,721.00,0.00,5.00,Calmed,Calmed,100,152
void2,Pre,1,18446,721.00,0.00,5.00,Calmed,Calmed,100,153
void2,Pre,1,18451,721.00,0.00,5.00,Calmed,Calmed,100,154
void2,Pre,1,18454,721.00,0.00,5.00,Calmed,Calmed,100,155
void2,Pre,1,18457,721.00,0.00,5.00,Calmed,Calmed,100,156
void2,Pre,1,18459,721.00,0.00,5.00,Calmed,Calmed,100,157
void2,Pre,1,18462,721.00,0.00,5.00,Calmed,Calmed,100,158
void2,Pre,1,18466,721.00,0.00,5.00,Calmed,Calmed,100,159
void2,Pre,1,18469,721.00,0.00,5.00,Calmed,Calmed,100,160
void2,Pre,1,18473,721.00,0.00,5.00,Calmed,Calmed,100,161
void2,Pre,1,18475,721.00,0.00,5.00,Calmed,Calmed,100,162
void2,Pre,1,18477,721.00,0.00,5.00,Calmed,Calmed,100,163
void2,Pre,1,18480,721.00,0.00,5.00,Calmed,Calmed,100,164
void2,Pre,1,18483,721.00,0.00,5.00,Calmed,Calmed,100,165
void2,Pre,1,18486,721.00,0.00,5.00,Calmed,Calmed,100,166
void2,Pre,1,18489,721.00,0.00,5.00,Calmed,Calmed,100,167
void2,Pre,1,18493,721.00,0.00,5.00,Calmed,Calmed,100,168
void2,Pre,1,18496,721.00,0.00,5.00,Calmed,Calmed,100,169
void2,Pre,1,18498,721.00,0.00,5.00,Calmed,Calmed,100,170
void2,Pre,1,18501,721.00,0.00,5.00,Calmed,Calmed,100,171
void2,Pre,1,18504,721.00,0.00,5.00,Calmed,Calmed,100,172
void2,Pre,1,18507,721.00,0.00,5.00,Calmed,Calmed,100,173
void2,Pre,1,18509,721.00,0.00,5.00,Calmed,Calmed,100,174
void2,Pre,1,18512,721.00,0.00,5.00,Calmed,Calmed,100,175
void2,Pre,1,18516,721.00,0.00,5.00,Calmed,Calmed,100,176
void2,Pre,1,18519,721.00,0.00,5.00,Calmed,Calmed,100,177
void2,Pre,1,18525,721.00,0.00,5.00,Calmed,Calmed,100,178
void2,Pre,1,18527,721.00,0.00,5.00,Calmed,Calmed,100,179
void2,Pre,1,18530,721.00,0.00,5.00,Calmed,Calmed,100,180
void2,Pre,1,18532,721.00,0.00,5.00,Calmed,Calmed,100,181
void2,Pre,1,18534,721.00,0.00,5.00,Calmed,Calmed,100,182
void2,Pre,1,18537,721.00,0.00,5.00,Calmed,Calmed,100,183
void2,Pre,1,18539,721.00,0.00,5.00,Calmed,Calmed,100,184
void2,Pre,1,18541,721.00,0.00,5.00,Calmed,Calmed,100,185
void2,Pre,1,18544,720.00,0.00,5.00,Calmed,Calmed,100,186
void2,Pre,1,18548,720.00,0.00,5.00,Calmed,Calmed,100,187
void2,Pre,1,18551,720.00,0.00,5.00,Calmed,Calmed,100,188
void2,Pre,1,18554,720.00,0.00,5.00,Calmed,Calmed,100,189
void2,Pre,1,18557,720.00,0.00,5.00,Calmed,Calmed,100,190
void2,Pre,1,18560,720.00,0.00,5.00,Calmed,Calmed,100,191
void2,Pre,1,18563,720.00,0.00,5.00,Calmed,Calmed,100,192
void2,Pre,1,18566,720.00,0.00,5.00,Calmed,Calmed,100,193
void2,Pre,1,18568,720.00,0.00,5.00,Calmed,Calmed,100,194
void2,Pre,1,18573,720.00,0.00,5.00,Calmed,Calmed,100,195
void2,Pre,1,18576,720.00,0.00,5.00,Calmed,Calmed,100,196
void2,Pre,1,18578,720.00,0.00,5.00,Calmed,Calmed,100,197
void2,Pre,1,18580,720.00,0.00,5.00,Calmed,Calmed,100,198
void2,Pre,1,18583,720.00,0.00,5.00,Calmed,Calmed,100,199
void2,Pre,1,18586,720.00,0.00,5.00,Calmed,Calmed,100,200
void2,Pre,1,18589,720.00,0.00,5.00,Calmed,Calmed,100,201
void2,Pre,1,18591,721.00,1.00,5.00,Calmed,Calmed,100,202
void2,Pre,1,18594,721.00,1.00,5.00,Calmed,Calmed,100,203
void2,Pre,1,18596,721.00,1.00,5.00,Calmed,Calmed,100,204
void2,Pre,1,18599,721.00,1.00,5.00,Calmed,Calmed,100,205
void2,Pre,1,18605,721.00,1.00,5.00,Calmed,Calmed,100,206
void2,Pre,1,18607,721.00,1.00,5.00,Calmed,Calmed,100,207
void2,Pre,1,18610,721.00,1.00,5.00,Calmed,Calmed,100,208
void2,Pre,1,18612,721.00,1.00,5.00,Calmed,Calmed,100,209
void2,Pre,1,18614,721.00,1.00,5.00,Calmed,Calmed,100,210
void2,Pre,1,18619,721.00,1.00,5.00,Calmed,Calmed,100,211
void2,Pre,1,18623,721.00,1.00,5.00,Calmed,Calmed,100,212
void2,Pre,1,18625,721.00,1.00,5.00,Calmed,Calmed,100,213
void2,Pre,1,18628,721.00,1.00,5.00,Calmed,Calmed,100,214
void2,Pre,1,18630,721.00,1.00,5.00,Calmed,Calmed,100,215
void2,Pre,1,18633,721.00,1.00,5.00,Calmed,Calmed,100,216
void2,Pre,1,18636,721.00,1.00,5.00,Calmed,Calmed,100,217
void2,Pre,1,18639,721.00,1.00,5.00,Calmed,Calmed,100,218
void2,Pre,1,18641,721.00,1.00,5.00,Calmed,Calmed,100,219
void2,Pre,1,18644,721.00,1.00,5.00,Calmed,Calmed,100,220
void2,Pre,1,18647,721.00,1.00,5.00,Calmed,Calmed,100,221
void2,Pre,1,18651,721.00,1.00,5.00,Calmed,Calmed,100,222
void2,Pre,1,18654,721.00,1.00,5.00,Calmed,Calmed,100,223
void2,Pre,1,18657,721.00,1.00,5.00,Calmed,Calmed,100,224
void2,Pre,1,18659,721.00,1.00,5.00,Calmed,Calmed,100,225
void2,Pre,1,18662,721.00,1.00,5.00,Calmed,Calmed,100,226
void2,Pre,1,18667,721.00,1.00,5.00,Calmed,Calmed,100,227
void2,Pre,1,18669,721.00,1.00,5.00,Calmed,Calmed,100,228
void2,Pre,1,18673,721.00,1.00,5.00,Calmed,Calmed,100,229
void2,Pre,1,18675,721.00,1.00,5.00,Calmed,Calmed,100,230
void2,Pre,1,18678,721.00,1.00,5.00,Calmed,Calmed,100,231
void2,Pre,1,18680,721.00,1.00,5.00,Calmed,Calmed,100,232
void2,Pre,1,18683,721.00,1.00,5.00,Calmed,Calmed,100,233
void2,Pre,1,18686,721.00,1.00,5.00,Calmed,Calmed,100,234
void2,Pre,1,18689,721.00,1.00,5.00,Calmed,Calmed,100,235
void2,Pre,1,18691,721.00,1.00,5.00,Calmed,Calmed,100,236
void2,Pre,1,18694,721.00,1.00,5.00,Calmed,Calmed,100,237
void2,Pre,1,18696,721.00,1.00,5.00,Calmed,Calmed,100,238
void2,Pre,1,18699,720.00,0.00,5.00,Calmed,Calmed,100,239
void2,Pre,1,18702,720.00,0.00,5.00,Calmed,Calmed,100,240
