trial_number,target_state,start_time_ms,score,success_rate,mean_gsr,sd_gsr,response_time_ms
1,Calmed,18006,4105.0,3.42,382.84,4.87,0
2,Excited,56011,401.0,0.33,375.69,2.40,0
3,Calmed,94017,4405.0,3.67,367.64,5.18,0
4,Excited,132021,788.0,0.66,359.61,2.29,0
5,Calmed,170029,5860.0,4.88,352.82,1.96,0
6,Excited,208038,783.0,0.65,343.41,2.06,0
